"section","file","path","obtenerDatos","localStorage","sessionStorage","setTimeout","subscribe","rxjsSubject","legacyWord","datosWord"
"16","seccion16-constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion16\seccion16-constants.ts","0","0","0","0","0","0","0","0"
"16","seccion16-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion16\seccion16-form.component.ts","0","0","0","0","0","0","0","11"
"16","seccion16-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion16\seccion16-view.component.ts","0","0","0","0","0","0","0","16"
"17","seccion17-constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion17\seccion17-constants.ts","0","0","0","0","0","0","0","0"
"17","seccion17-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion17\seccion17-form.component.ts","1","0","0","1","1","0","3","24"
"17","seccion17-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion17\seccion17-view.component.ts","1","0","0","0","0","0","2","3"
"18","seccion18-constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion18\seccion18-constants.ts","0","0","0","0","0","0","0","0"
"18","seccion18-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion18\seccion18-form.component.ts","0","0","0","0","2","0","0","14"
"18","seccion18-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion18\seccion18-view.component.ts","0","0","0","0","0","0","0","2"
"19","seccion19-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion19\seccion19-form.component.ts","0","0","0","0","1","0","0","33"
"19","seccion19-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion19\seccion19-view.component.ts","0","0","0","0","0","0","0","5"
"19","seccion19.constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion19\seccion19.constants.ts","0","0","0","0","0","0","1","2"
"2","seccion2-constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion2\seccion2-constants.ts","0","0","0","0","0","0","0","0"
"2","seccion2-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion2\seccion2-form.component.ts","0","0","0","0","0","0","0","0"
"2","seccion2-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion2\seccion2-view.component.ts","0","0","0","0","0","0","0","1"
"20","seccion20-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion20\seccion20-form.component.ts","0","0","0","0","0","0","0","20"
"20","seccion20-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion20\seccion20-view.component.ts","0","0","0","0","0","0","0","4"
"20","seccion20.constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion20\seccion20.constants.ts","0","0","0","0","0","0","0","0"
"21","seccion21-constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion21\seccion21-constants.ts","0","0","0","0","0","0","0","4"
"21","seccion21-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion21\seccion21-form.component.ts","0","0","0","0","0","0","0","25"
"21","seccion21-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion21\seccion21-view.component.ts","0","0","0","0","0","0","0","2"
"22","seccion22-constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion22\seccion22-constants.ts","0","0","0","0","0","0","0","2"
"22","seccion22-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion22\seccion22-form.component.ts","0","0","0","0","2","0","0","36"
"22","seccion22-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion22\seccion22-view.component.ts","0","0","0","0","0","0","0","8"
"23","seccion23-constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion23\seccion23-constants.ts","0","0","0","0","0","0","0","0"
"23","seccion23-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion23\seccion23-form.component.ts","0","0","0","0","3","0","1","56"
"23","seccion23-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion23\seccion23-view.component.ts","0","0","0","0","0","0","0","22"
"24","seccion24-constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion24\seccion24-constants.ts","0","0","0","0","0","0","0","1"
